Brand,Cultivator,Product,Format,Total Price,THC,CBD,Irradiation,Group,C.O.O,Terpenes,Pack,Stock,MedBud,Discounted,New
4C Labs,Truro Cannabis,A&B Jealousy,Flower,£85.00,30%,<1%,Beta,Indica Hybrid,Canada,"Caryophyllene, Limonene, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/4c-labs/craft-jab-apples-bananas-jealousy/,,,
4C Labs,Sundial,Acai Berry,Flower,£60.00,25%,<1%,Beta,Indica Hybrid,Canada,"Caryophyllene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/4c-labs/acb-t27-acai-berry/,,,
4C Labs,Sundial,Afghani Lights,Flower,£62.50,23%,<1%,Beta,Hybrid,Canada,"Caryophyllene, Limonene, Linalool",10 Grams,Out of Stock,https://medbud.wiki/strains/4c-labs/afl-t23-afghani-lights/,,,
4C Labs,Sundial,Alaskan Thunder,Flower,£75.00,29%,<1%,Beta,Sativa Hybrid,Canada,"Alpha-Pinene, Myrcene, Terpinolene",10 Grams,Out of Stock,https://medbud.wiki/strains/4c-labs/atd-t29/,,,
4C Labs,Fresh™ Island Canna,Alien Jelly,Flower,£85.00,27%,<1%,Beta,Indica Hybrid,Canada,"Beta-Pinene, Ocimeme, Terpinolene",10 Grams,In Stock,https://medbud.wiki/strains/4c-labs/craft-select-alj-t27-alien-jelly/,,,
4C Labs,Cielo Verde,Banana Daddy,Flower,£75.00,26%,<1%,Beta,Indica Hybrid,Canada,"Caryophyllene, Limoene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/4c-labs/premium-bdd-t26-banana-daddy/,,,
4C Labs,Krft,Beach Wedding,Flower,£70.00,30%,<1%,Beta,Hybrid,Canada,"Alpha-Pinene, Limonene, Myrcene",10 Grams,Low Stock,https://medbud.wiki/strains/4c-labs/bw-t30-beach-wedding/,Yes,,
4C Labs,Rubicon Organics™,Blue Dream,Flower,£82.50,20%,<1%,Beta,Sativa Hybrid,Canada,"Not Listed",10 Grams,In Stock,https://medbud.wiki/strains/4c-labs/craft-select-bdr-t20-blue-dream/,,,
4C Labs,Cielo Verde,Citroli,Flower,£67.50,25%,<1%,Beta,Sativa Hybrid,Canada,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/4c-labs/ctr-t25-citroli/,,,
4C Labs,AgMedica,Cold Creek Kush,Flower,£60.00,26%,<1%,Beta,Indica Hybrid,Canada,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/4c-labs/cck-t26-cold-creek-kush/,,,
4C Labs,AgMedica,Cold Creek Kush (SMALLS),Flower,£55.00,25%,<1%,Beta,Indica Hybrid,Canada,"Caryophyllene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/4c-labs/cck-s-smalls-t25-cold-creek-kush/,,,
4C Labs,Greentone,Crumbled Lime Ten,Flower,£65.00,29%,<1%,Beta,Hybrid,Canada,"Caryophyllene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/4c-labs/value-crl-t29-crumbled-lime-ten/,,,
4C Labs,Cielo Verde,Dante'z Inferno,Flower,£75.00,32%,<1%,Beta,Hybrid,Canada,"Caryophyllene, Limonene, Linalool",10 Grams,Out of Stock,https://medbud.wiki/strains/4c-labs/craft-dzi-t32-dantez-inferno/,,,
4C Labs,Auxly,Dawgzilla,Flower,£62.50,25%,<1%,Beta,Indica Hybrid,Canada,"Alpha-Pinene, Myrcene, Terpinolene",10 Grams,Out of Stock,https://medbud.wiki/strains/4c-labs/core-dgz-t25-dawgzilla/,,,
4C Labs,FAAFO,Death Bubba,Flower,£77.50,26%,<1%,Beta,Indica Hybrid,Canada,"Beta-Pinene, Ocimene, Terpinolene",10 Grams,Out of Stock,https://medbud.wiki/strains/4c-labs/t25-death-bubba-kush/,,,
4C Labs,Sundial,Donkey Butter,Flower,£75.00,31%,<1%,Beta,Hybrid,Canada,"Caryophyllene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/4c-labs/premium-dbt-t36-donkey-butter/,,,
4C Labs,Pure Sunfarms,Donny Burger,Flower,£60.00,21%,<1%,Beta,Hybrid,Canada,"Alpha-Pinene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/4c-labs/dbg-t21-donny-burger/,,,
4C Labs,Cielo Verde,Durban Kush,Flower,£70.00,28%,<1%,Beta,Sativa Hybrid,Canada,"Not Listed",10 Grams,In Stock,https://medbud.wiki/strains/4c-labs/craft-dbk-t26-durban-kush/,,,
4C Labs,Fresh™ Island Canna,Gary Busey,Flower,£90.00,30%,<1%,Beta,Hybrid,Canada,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/4c-labs/gbu-t30-gary-busey/,,,
4C Labs,FAAFO,Gastro Pop,Flower,£85.00,28%,<1%,Beta,Indica Hybrid,Canada,"Not Listed",10 Grams,In Stock,https://medbud.wiki/strains/4c-labs/craft-select-gsp-t28-gastro-pop/,,,
4C Labs,Medical Saints,GMO Animal Cookies,Flower,£60.00,26%,<1%,Beta,Indica Hybrid,Canada,"Caryophyllene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/4c-labs/core-gmo-ac-t30-animal-cookies/,,,
4C Labs,Decibel,Grandi Guava,Flower,£72.50,25%,<1%,Beta,Sativa Hybrid,Canada,"Caryophyllene, Limonene, Myrcene",10 Grams,Out Stock,https://medbud.wiki/strains/4c-labs/ggu-t25-grandi-guava/,,,
4C Labs,Decibel,Grape Cream Cake,Flower,£72.50,24%,<1%,Beta,Indica Hybrid,Canada,"Caryophyllene, Limonene, Linalool",10 Grams,Out of Stock,https://medbud.wiki/strains/4c-labs/gcc-t24-grape-cream-cake/,,,
4C Labs,FAAFO,Green Runtz,Flower,£85.00,26%,<1%,Beta,Hybrid,Canada,"Alpha-Pinene, Myrcene, Terpinolene",10 Grams,In Stock,https://medbud.wiki/strains/4c-labs/craft-select-grz-t26-green-runtz/,,,
4C Labs,Verte West,Hawaiian Fanta,Flower,£82.50,31%,<1%,Beta,Sativa Hybrid,Canada,"Beta-Pinene, Ocimene, Terpinolene",10 Grams,Out of Stock,https://medbud.wiki/strains/4c-labs/craft-select-hwf-t31-hawaiian-fanta/,,,
4C Labs,Medical Saints,Huckleberry,Flower,£60.00,21%,<1%,Beta,Hybrid,Canada,"Caryophyllene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/4c-labs/core-hcb-t21-huckleberry/,,,
4C Labs,Pure Sunfarms,Jet Fuel Gelato,Flower,£55.00,24%,<1%,Beta,Hybrid,Canada,"Alpha-Pinene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/4c-labs/jfg-t24-jet-fuel-gelato/,,,
4C Labs,Krft,Khalifa Mints,Flower,£75.00,24%,<1%,Beta,Hybrid,Canada,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/4c-labs/khalifa-mints/,,,
4C Labs,Greentone,Kush Cookies,Flower,£65.00,28%,<1%,Beta,Hybrid,Canada,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/4c-labs/value-kco-t28-kush-cookies/,,,
4C Labs,Medical Saints,Lemonatti,Flower,£60.00,25%,<1%,Beta,Hybrid,Canada,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/4c-labs/core-lmt-t25-lemonatti/,,,
4C Labs,Coast Mountain,Lucy In The Sky,Flower,£80.00,24%,<1%,Beta,Hybrid,Canada,"Caryophyllene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/4c-labs/lis-t22-lucy-in-the-sky/,,,
4C Labs,Sundial,Miracle Alien Cookies (CORE),Flower,£60.00,27%,<1%,Beta,Hybrid,Canada,"Caryophyllene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/4c-labs/core-mc1-t27-miracle-alien-cookies-mac/,,,
4C Labs,Krft,Miracle Alien Cookies (CRAFT),Flower,£85.00,25%,<1%,Beta,Hybrid,Canada,"Caryophyllene, Limonene, Linalool",10 Grams,Out of Stock,https://medbud.wiki/strains/4c-labs/t25-mac-1/,,,
4C Labs,Cielo Verde,Moby Dick,Flower,£75.00,27%,<1%,Beta,Sativa Hybrid,Canada,"Beta-Pinene, Beta-Pinene, Terpinolene",10 Grams,Out of Stock,https://medbud.wiki/strains/4c-labs/premium-mdk-t21/,,,
4C Labs,Decibel,Morning Sun,Flower,£77.50,31%,<1%,Beta,Indica Hybrid,Canada,"Caryophyllene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/4c-labs/msn-t30-morning-sun/,,,
4C Labs,FAAFO,MS. MJR Runtz,Flower,£82.50,27%,<1%,Beta,Hybrid,Canada,"Alpha-Pinene, Limonene, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/4c-labs/craft-select-mjr-t27-runtz/,,,
4C Labs,Greenway,Oaxacan Kush (SMALLS),Flower,£50.00,22%,<1%,Beta,Hybrid,Canada,"Not Listed",10 Grams,In Stock,https://medbud.wiki/strains/4c-labs/value-xk-smalls-t24-oaxacan-kush/,,,
4C Labs,Coast Mountain,Peanut Butter Souffle,Flower,£85.00,30%,<1%,Beta,Indica Hybrid,Canada,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/4c-labs/pbs-t30-peanut-butter-souffle/,,,
4C Labs,Pure Sunfarms,Pink Kush,Flower,£60.00,21%,<1%,Beta,Indica Hybrid,Canada,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/4c-labs/pkk-t21-pink-kush/,,,
4C Labs,Greenway,Pink Kush,Flower,£65.00,29%,<1%,Beta,Indica Hybrid,Canada,"Caryophyllene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/4c-labs/core-pks-t29-pink-kush/,,,
4C Labs,Sundial,Platinum Garlic,Flower,£60.00,26%,<1%,Beta,Hybrid,Canada,"Caryophyllene, Limonene, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/4c-labs/pgl-t26-platinum-garlic/,,,
4C Labs,,Pucker Up,Flower,£55.00,29%,<1%,Beta,Hybrid,Canada,"Caryophyllene, Limonene, Linalool",10 Grams,Out of Stock,https://medbud.wiki/strains/4c-labs/craft-select-pck-t29-pucker-up/,,,
4C Labs,Rubicon Organics™,Stinky Pinky,Flower,£82.50,30%,<1%,Beta,Indica Hybrid,Canada,"Alpha-Pinene, Myrcene, Terpinolene",10 Grams,In Stock,https://medbud.wiki/strains/4c-labs/craft-select-spk-t30-stinky-pinky/,,,
4C Labs,AgMedica,Strawberry Cake (SMALLS),Flower,£55.00,25%,<1%,Beta,Indica Hybrid,Canada,"Beta-Pinene, Ocimene, Terpinolene",10 Grams,Out of Stock,https://medbud.wiki/strains/4c-labs/sck-s-smalls-t25-strawberry-glue/,,,
